sample_id,sample_type,date_collected,cov_detected,genus,clade,accession_number,strain,sample_d,recapture_bats_infection_status,gender,age,fa_mm,mass_g,fmi_kg_m2,reproductive_status,reproductive_condition,teat_assessment,comments_ra_rousettus_aegyptiacus,decisions_based_on_data_sheets,x21,x22
UPE 060,Faecal pool (x3),2017-06-07T00:00:00Z,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UPE 061,Faecal pool (x3),2017-06-07T00:00:00Z,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UPE 062,Faecal pool (x3),2017-06-07T00:00:00Z,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UPE 063,Faecal pool (x3),2017-06-07T00:00:00Z,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UPE 064,Faecal pool (x3),2017-06-07T00:00:00Z,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UPE 065,Faecal pool (x3),2017-06-07T00:00:00Z,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UPE 066,Faecal pool (x3),2017-06-07T00:00:00Z,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UPE 067,Faecal pool (x3),2017-06-07T00:00:00Z,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UPE 068,Faecal pool (x3),2017-06-07T00:00:00Z,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UPE 069,Faecal pool (x3),2017-06-07T00:00:00Z,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UPE 070,Faecal pool (x3),2017-06-07T00:00:00Z,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UPE 071,Faecal pool (x3),2017-06-07T00:00:00Z,1,beta,2,MZ547505,BtCoV/Rousettus/LP/RSA/UPE71/2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
